subsystem,path_from_root
PLA,/Code/Framework/AzCore/Platform/Linux/AzCore/PlatformIncl_Platform.h
PLA,/Code/Framework/AzCore/Platform/Linux/AzCore/Socket
PLA,/Code/Framework/AzCore/Platform/Linux/AzCore/std
PLA,/Code/Framework/AzCore/Platform/Linux/AzCore/Utils
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/AzCore_Traits_Mac.h
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/AzCore_Traits_Platform.h
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/base_Mac.h
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/base_Platform.h
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/Debug
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/IO
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/IPC
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/Math
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/Memory
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/Module
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/NativeUI
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/Platform_Mac.cpp
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/PlatformId
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/PlatformIncl_Platform.h
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/Socket
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/std
PLA,/Code/Framework/AzCore/Platform/Mac/AzCore/Utils
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/AzCore_Traits_Platform.h
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/AzCore_Traits_Windows.h
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/base_Platform.h
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/base_Windows.h
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/Debug
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/IO
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/IPC
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/Math
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/Memory
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/Module
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/NativeUI
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/Platform_Windows.cpp
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/PlatformId
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/PlatformIncl_Platform.h
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/PlatformIncl_Windows.h
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/Socket
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/std
PLA,/Code/Framework/AzCore/Platform/Windows/AzCore/Utils
GMP,/Code/Framework/AzFramework/AzFramework/API
COR,/Code/Framework/AzFramework/AzFramework/Application
COR,/Code/Framework/AzFramework/AzFramework/Archive
RES,/Code/Framework/AzFramework/AzFramework/Asset
COR,/Code/Framework/AzFramework/AzFramework/AzFrameworkModule.cpp
COR,/Code/Framework/AzFramework/AzFramework/AzFrameworkModule.h
COR,/Code/Framework/AzFramework/AzFramework/CommandLine
EDI,/Code/Framework/AzFramework/AzFramework/Components
COR,/Code/Framework/AzFramework/AzFramework/Dependency
COR,/Code/Framework/AzFramework/AzFramework/DocumentPropertyEditor
GMP,/Code/Framework/AzFramework/AzFramework/Entity
PLA,/Code/Framework/AzFramework/AzFramework/FileFunc
RES,/Code/Framework/AzFramework/AzFramework/FileTag
FES,/Code/Framework/AzFramework/AzFramework/Font
COR,/Code/Framework/AzFramework/AzFramework/Gem
FES,/Code/Framework/AzFramework/AzFramework/InGameUI
HID,/Code/Framework/AzFramework/AzFramework/Input
PLA,/Code/Framework/AzFramework/AzFramework/IO
DEB,/Code/Framework/AzFramework/AzFramework/Logging
COR,/Code/Framework/AzFramework/AzFramework/Math
OMP,/Code/Framework/AzFramework/AzFramework/Network
PHY,/Code/Framework/AzFramework/AzFramework/Physics
PLA,/Code/Framework/AzFramework/AzFramework/Platform
COR,/Code/Framework/AzFramework/AzFramework/Process
COR,/Code/Framework/AzFramework/AzFramework/ProjectManager
LLR,/Code/Framework/AzFramework/AzFramework/Render
GMP,/Code/Framework/AzFramework/AzFramework/Scene
GMP,/Code/Framework/AzFramework/AzFramework/Script
FES,/Code/Framework/AzFramework/AzFramework/Slice
GMP,/Code/Framework/AzFramework/AzFramework/Spawnable
COR,/Code/Framework/AzFramework/AzFramework/StreamingInstall
COR,/Code/Framework/AzFramework/AzFramework/StringFunc
LLR,/Code/Framework/AzFramework/AzFramework/SurfaceData
COR,/Code/Framework/AzFramework/AzFramework/Thermal
LLR,/Code/Framework/AzFramework/AzFramework/Viewport
GMP,/Code/Framework/AzFramework/AzFramework/Visibility
FES,/Code/Framework/AzFramework/AzFramework/Windowing
PLA,/Code/Framework/AzFramework/Platform/Android/AzFramework/API
PLA,/Code/Framework/AzFramework/Platform/Android/AzFramework/Application
PLA,/Code/Framework/AzFramework/Platform/Android/AzFramework/AzFramework_Traits_Android.h
PLA,/Code/Framework/AzFramework/Platform/Android/AzFramework/AzFramework_Traits_Platform.h
PLA,/Code/Framework/AzFramework/Platform/Android/AzFramework/Input
PLA,/Code/Framework/AzFramework/Platform/Android/AzFramework/IO
PLA,/Code/Framework/AzFramework/Platform/Android/AzFramework/Process
PLA,/Code/Framework/AzFramework/Platform/Android/AzFramework/Thermal
PLA,/Code/Framework/AzFramework/Platform/Android/AzFramework/Windowing
PLA,/Code/Framework/AzFramework/Platform/Common/Apple
PLA,/Code/Framework/AzFramework/Platform/Common/Default
PLA,/Code/Framework/AzFramework/Platform/Common/Unimplemented
PLA,/Code/Framework/AzFramework/Platform/Common/UnixLike
PLA,/Code/Framework/AzFramework/Platform/Common/WinAPI
PLA,/Code/Framework/AzFramework/Platform/Common/Xcb
PLA,/Code/Framework/AzFramework/Platform/iOS/AzFramework/API
PLA,/Code/Framework/AzFramework/Platform/iOS/AzFramework/Application
PLA,/Code/Framework/AzFramework/Platform/iOS/AzFramework/AzFramework_Traits_iOS.h
PLA,/Code/Framework/AzFramework/Platform/iOS/AzFramework/AzFramework_Traits_Platform.h
PLA,/Code/Framework/AzFramework/Platform/iOS/AzFramework/Input
PLA,/Code/Framework/AzFramework/Platform/iOS/AzFramework/Process
PLA,/Code/Framework/AzFramework/Platform/iOS/AzFramework/Utils
PLA,/Code/Framework/AzFramework/Platform/iOS/AzFramework/Windowing
PLA,/Code/Framework/AzFramework/Platform/Linux/AzFramework/API
PLA,/Code/Framework/AzFramework/Platform/Linux/AzFramework/Application
PLA,/Code/Framework/AzFramework/Platform/Linux/AzFramework/Asset
PLA,/Code/Framework/AzFramework/Platform/Linux/AzFramework/AzFramework_Traits_Linux.h
PLA,/Code/Framework/AzFramework/Platform/Linux/AzFramework/AzFramework_Traits_Platform.h
PLA,/Code/Framework/AzFramework/Platform/Linux/AzFramework/Input
PLA,/Code/Framework/AzFramework/Platform/Linux/AzFramework/Process
PLA,/Code/Framework/AzFramework/Platform/Linux/AzFramework/Windowing
PLA,/Code/Framework/AzFramework/Platform/Mac/AzFramework/API
PLA,/Code/Framework/AzFramework/Platform/Mac/AzFramework/Application
PLA,/Code/Framework/AzFramework/Platform/Mac/AzFramework/Asset
PLA,/Code/Framework/AzFramework/Platform/Mac/AzFramework/AzFramework_Traits_Mac.h
