edge,includes,includedby,sum
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/LuaJIT/src/lj_record.c,20,1,21
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/LuaJIT/src/lj_err.h,2,43,45
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SDL/src/libm/s_floor.c,2,0,2
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SDL/src/libm/math_private.h,0,20,20
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/GraphicsAPI/OpenGL/OGLTexture2D.cpp,13,0,13
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/Graphics/Renderer.h,6,33,39
/media/ullmann/hdd/research/engines/Urho3D/include/Urho3D/ThirdParty/rapidjson/uri.h,1,2,3
/media/ullmann/hdd/research/engines/Urho3D/include/Urho3D/ThirdParty/rapidjson/internal/strfunc.h,1,3,4
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/Resource/XMLFile.cpp,11,0,11
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/IO/Log.h,4,160,164
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/Graphics/Skybox.cpp,7,0,7
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/DebugNew.h,0,233,233
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/AngelScript/source/as_scriptengine.h,12,29,41
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/AngelScript/source/as_config.h,2,59,61
/media/ullmann/hdd/research/engines/Urho3D/include/Urho3D/GraphicsAPI/Direct3D9/D3D9VertexDeclaration.h,3,1,4
/media/ullmann/hdd/research/engines/Urho3D/include/Urho3D/Container/Ptr.h,2,22,24
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/GraphicsAPI/OpenGL/OGLTextureCube.cpp,13,0,13
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/FreeType/src/gzip/ftgzip.c,13,0,13
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/FreeType/src/gzip/infcodes.h,0,4,4
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SLikeNet/Source/src/ReadyEvent.cpp,6,0,6
/media/ullmann/hdd/research/engines/Urho3D/include/Urho3D/ThirdParty/slikenet/NativeFeatureIncludes.h,0,42,42
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SDL/src/video/pandora/SDL_pandora.c,6,0,6
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SDL/src/events/SDL_mouse_c.h,1,25,26
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Tracy/Tracy.hpp,5,7,12
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Tracy/client/TracyLock.hpp,3,1,4
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/WebP/src/utils/bit_writer_utils.h,1,4,5
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/WebP/src/webp/types.h,0,22,22
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/AngelScript/source/as_callfunc_x86.cpp,6,0,6
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/AngelScript/source/as_tokendef.h,1,18,19
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/code/DXFLoader.cpp,5,0,5
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/LuaJIT/src/lj_opt_mem.c,6,1,7
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/LuaJIT/src/lj_iropt.h,2,15,17
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/GraphicsAPI/Direct3D9/D3D9ShaderVariation.cpp,10,0,10
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/code/ValidateDataStructure.h,1,3,4
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/code/BaseProcess.h,1,31,32
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SDL/src/video/SDL_egl.c,5,0,5
/media/ullmann/hdd/research/engines/Urho3D/script/build/include/Urho3D/AngelScript/Generated_Includes.h,236,1,237
/media/ullmann/hdd/research/engines/Urho3D/script/build/include/Urho3D/Math/Quaternion.h,1,6,7
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SLikeNet/Source/src/LogCommandParser.cpp,6,0,6
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/FreeType/src/otvalid/otvmath.c,3,1,4
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/FreeType/src/otvalid/otvcommn.h,1,8,9
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/code/ASELoader.cpp,5,0,5
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/code/TargetAnimation.h,0,3,3
/media/ullmann/hdd/research/engines/Urho3D/script/build/include/Urho3D/ThirdParty/ik/effector.h,3,0,3
/media/ullmann/hdd/research/engines/Urho3D/include/Urho3D/ThirdParty/ik/quat.h,2,11,13
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Bullet/src/LinearMath/btConvexHullComputer.h,2,1,3
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Bullet/src/LinearMath/btAlignedObjectArray.h,2,9,11
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SDL/src/video/x11/SDL_x11shape.c,5,0,5
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SDL/src/video/x11/SDL_x11window.h,1,2,3
/media/ullmann/hdd/research/engines/Urho3D/include/Urho3D/Engine/Application.h,3,0,3
/media/ullmann/hdd/research/engines/Urho3D/include/Urho3D/Core/Context.h,3,6,9
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SDL/src/audio/esd/SDL_esdaudio.h,2,1,3
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SDL/src/audio/SDL_sysaudio.h,3,33,36
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Tracy/client/TracyDxt1.cpp,2,1,3
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Tracy/common/TracyForceInline.hpp,0,7,7
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/AngelScript/Manual_Graphics.h,17,2,19
/media/ullmann/hdd/research/engines/Urho3D/Source/Urho3D/Graphics/ParticleEffect.h,2,5,7
/media/ullmann/hdd/research/engines/Urho3D/include/Urho3D/AngelScript/Generated_Includes.h,236,1,237
/media/ullmann/hdd/research/engines/Urho3D/include/Urho3D/UI/Sprite.h,2,1,3
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/contrib/poly2tri/poly2tri/common/shapes.cc,1,0,1
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/contrib/poly2tri/poly2tri/common/shapes.h,0,3,3
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SDL/src/joystick/windows/SDL_xinputjoystick.c,5,0,5
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/SDL/src/joystick/SDL_sysjoystick.h,2,26,28
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/code/XGLLoader.h,3,2,5
/media/ullmann/hdd/research/engines/Urho3D/Source/ThirdParty/Assimp/code/BaseImporter.h,1,63,64
