subsystem,entity_description,path_from_root,related_information
RES,,./panda3d/pandatool/src/egg-palettize,
RES,,./panda3d/pandatool/src/egg-qtess,
RES,,./panda3d/pandatool/src/eggbase,
RES,,./panda3d/pandatool/src/eggcharbase,
RES,,./panda3d/pandatool/src/eggprogs,
RES,,./panda3d/pandatool/src/flt,https://docs.panda3d.org/1.10/cpp/introduction/features?highlight=flt
RES,,./panda3d/pandatool/src/fltegg,
RES,,./panda3d/pandatool/src/fltprogs,
COR,,./panda3d/pandatool/src/gtk-stats,
RES,,./panda3d/pandatool/src/imagebase,
RES,,./panda3d/pandatool/src/imageprogs,
RES,,./panda3d/pandatool/src/lwo,
RES,,./panda3d/pandatool/src/lwoegg,
RES,,./panda3d/pandatool/src/lwoprogs,
RES,,./panda3d/pandatool/src/maxegg,
RES,,./panda3d/pandatool/src/maxprogs,
RES,,./panda3d/pandatool/src/maya,
RES,,./panda3d/pandatool/src/mayaegg,
RES,,./panda3d/pandatool/src/mayaprogs,
RES,,./panda3d/pandatool/src/miscprogs,
RES,,./panda3d/pandatool/src/objegg,
RES,,./panda3d/pandatool/src/objprogs,
RES,,./panda3d/pandatool/src/palettizer,https://doi.org/10.1117/12.469516
COR,,./panda3d/pandatool/src/pandatoolbase,
RES,,./panda3d/pandatool/src/pfmprogs,
COR,,./panda3d/pandatool/src/progbase,ProgramBase base class as a base class for simple programs
COR,,./panda3d/pandatool/src/pstatserver,
RES,,./panda3d/pandatool/src/ptloader,
COR,,./panda3d/pandatool/src/text-stats,
RES,,./panda3d/pandatool/src/vrml,
RES,,./panda3d/pandatool/src/vrmlegg,
RES,,./panda3d/pandatool/src/vrmlprogs,
PLA,,./panda3d/pandatool/src/win-stats,
RES,,./panda3d/pandatool/src/xfile,
RES,,./panda3d/pandatool/src/xfileegg,
RES,,./panda3d/pandatool/src/xfileprogs,
OTH,Maya files,./panda3d/pandatool/src/scripts,
LLR,,./panda3d/panda/metalibs/panda,config_pnmimagetypes,device,display
PHY,,./panda3d/panda/metalibs/pandabullet,
LLR,,./panda3d/panda/metalibs/pandadx9,
RES,,./panda3d/panda/metalibs/pandaegg,
OTH,Empty,./panda3d/panda/metalibs/pandaexpress,
VFX,,./panda3d/panda/metalibs/pandafx,https://project-archives.etc.cmu.edu/2003/spring/panda3d/PandaDox/Panda/html/config__distort_8cxx-source.html
LLR,,./panda3d/panda/metalibs/pandagl,
LLR,,./panda3d/panda/metalibs/pandagles,
LLR,,./panda3d/panda/metalibs/pandagles2,
PHY,,./panda3d/panda/metalibs/pandaode,https://docs.panda3d.org/1.10/python/programming/physics/ode/index
PHY,,./panda3d/panda/metalibs/pandaphysics,
OTH,Samples,./panda3d/samples,
OTH,Python code,./panda3d/tests,
