AUD;AUD;;3;6;0.0
COR;COR;;12;13;56.166666666666664
DEB;DEB;;11;0;0.0
FES;FES;;5;7;0.3333333333333333
GMP;GMP;;2;13;0.0
HID;HID;;6;6;0.75
LLR;LLR;;10;7;6.916666666666666
OMP;OMP;;3;6;0.0
OTH;OTH;;3;13;4.166666666666667
PHY;PHY;;4;6;0.25
RES;RES;;10;3;0.25
SDK;SDK;;11;3;4.75
SGC;SGC;;9;5;3.4166666666666665
SKA;SKA;;3;4;0.0
